sid,fwy,lat,lng,u,v
760130,105E,33.92843268126431,-118.29444050814254,306267185,1922406190
760166,105E,33.92844980011887,-118.27778528633988,306267771,306267886
760100,105E,33.92489944842607,-118.3286225563688,148811042,4013050931
760289,105E,33.91201740876957,-118.15727750817626,384342267,384342248
773656,105E,33.93312683164269,-118.35670539911038,144470939,122463910
760112,105E,33.92520673737728,-118.32348171019011,4013050931,206191520
716453,105E,33.91109961925377,-118.17461987350713,384377566,384342266
760226,105E,33.92378608980419,-118.20775652656302,293918240,322927827
765476,105E,33.92845931495743,-118.27795985629203,306267771,306267886
760167,105E,33.92844980011887,-118.27778528633988,306267771,306267886
760178,105E,33.92730753535945,-118.26312096418359,23964236,279645118
716470,105E,33.91370627780073,-118.11394849384986,359033520,359145741
760139,105E,33.92781875778645,-118.27365975879113,306267886,23964236
760110,105E,33.92520673737728,-118.32348171019011,4013050931,206191520
760074,105E,33.93329274705205,-118.35189815400796,122463910,1834760942
767838,105E,33.93157819789751,-118.36194704818834,272463436,144470939
760442,105W,33.92514391300849,-118.33035500765378,452589520,668233
760572,105W,33.92471052369922,-118.20916309760288,384451875,384258477
716459,105W,33.912473919923066,-118.1555909258906,384454290,384443318
760369,105W,33.91357621985412,-118.1225998159747,384342345,384405132
763716,105W,33.92934150063643,-118.2200447698349,384448114,293917173
760375,105W,33.913332217000224,-118.12779257473402,384342345,384405132
760490,105W,33.92890394868209,-118.2857609052921,306268304,306264295
718419,10E,34.03760164711093,-118.27283841434193,277328438,38724146
718410,10E,34.0315664155832,-118.43058527896851,18166124,24960499
717032,10E,34.035091799458,-118.33108084234303,1613525130,1614655923
737237,10E,34.02330163990891,-118.47347557582547,122441204,1613371542
716057,10E,34.03684416001389,-118.31312763684296,1613324259,277327792
763458,10E,34.02364301920364,-118.24393921560574,1614922690,1614922653
763963,10E,34.03402179439233,-118.3538835348563,1613580518,653721
763346,10E,34.03671894569039,-118.3153733740603,277327730,1613324238
763453,10E,34.0311376572995,-118.26001424680865,1614922728,807656180
768584,10E,34.02968061568598,-118.39297455562372,1614655282,864284594
717011,10E,34.03119514482132,-118.39017653987132,1614655282,864284594
737158,10E,34.02638324883423,-118.23481217905682,72260323,271054397
717016,10E,34.03629564807581,-118.37479988094212,298043765,298044182
718335,10E,34.03666600114705,-118.28926826792348,1614656079,1614656074
717045,10W,34.03699635092785,-118.28631692498742,1613371627,660937764
764050,10W,34.02242383613262,-118.4758795505831,658960025,333174204
717019,10W,34.03573777268293,-118.37137490585366,6952712561,298043551
763341,10W,34.02972848702563,-118.40303239466319,198191486,365355606
716063,10W,34.037102270506594,-118.29669132865402,660937762,660937748
716499,110N,33.951136075039265,-118.28002168943702,1390091955,1371534280
716484,110N,33.88485628240593,-118.28520043802932,1373116098,1775556986
763400,110N,33.96064638864968,-118.28066190024076,1371534280,1377775464
718164,110N,33.989158066318744,-118.28019767124671,1720047782,1613486973
763392,110N,33.95862043552241,-118.28067440135429,1371534280,1377775464
763532,110N,33.84543147670016,-118.28514881025878,1716245095,887580918
763522,110N,33.81106967727181,-118.28723936725487,292697057,1716245091
763267,110S,33.98017885546585,-118.28088074449329,1377775352,3958807833
759418,110S,33.923293326564135,-118.28156528513479,306312170,1716422020
763447,110S,34.01832712464275,-118.28014985915638,269633216,269633662
763413,110S,33.97684837650986,-118.28088337722299,1377775352,3958807833
766337,110S,33.85527441726292,-118.28496810914658,304699215,64159237
763272,110S,33.96882725011481,-118.28088877290821,5768963691,1377775431
763275,110S,33.96882725011481,-118.28088877290821,5768963691,1377775431
717738,405N,33.85285533987702,-118.27970662465728,64222910,304697892
771969,405N,33.97807286770289,-118.39012580119983,203890584,7091789364
717706,405N,33.80561881209705,-118.14182853212135,1728594469,7059061601
762552,405N,33.87831318299513,-118.34598398726479,122543201,321206291
717790,405N,34.01039012256603,-118.41685594315071,625976977,1614655071
717756,405N,33.8840101789481,-118.3515310039792,318204359,7078920861
718266,405N,33.86450150700541,-118.32590863792414,1776240813,321206209
761482,405N,33.951745403225765,-118.36901995384183,1717103537,1719348893
717722,405N,33.81961232138751,-118.19182875623099,1722393505,1722396734
717729,405N,33.825499217873435,-118.22623310717137,305079963,305080454
717735,405N,33.840236914825226,-118.2641440869025,1778218497,1721401337
717758,405N,33.89044690268182,-118.36051089127236,1719554006,624626574
717760,405N,33.891863651710615,-118.36249010803527,624626574,1719854989
771917,405N,33.825907647005266,-118.23315641952478,305080454,1721380095
769265,405N,33.97168896425785,-118.37753091525909,1718691069,122388044
717707,405N,33.80561881209705,-118.14182853212135,1728594469,7059061601
762533,405N,33.81440170242615,-118.17753796887446,672646082,275966816
769263,405N,33.963184617666315,-118.36972754092075,1719348893,1717116216
761444,405N,33.87394261251939,-118.3428776590565,122401709,122543201
769259,405N,33.95203442840291,-118.36908188386182,1717103537,1719348893
717715,405N,33.81379887747349,-118.16822797422338,298063212,298063179
772437,405N,34.013881858099865,-118.41961611734129,1614655071,1613580489
717744,405N,33.8599066,-118.307741,304821469,304821560
717709,405N,33.8061943453006,-118.14449900804404,7059061601,1728594450
716663,405N,33.85847784048094,-118.2877959966333,304695578,304819210
772455,405N,34.019216068914396,-118.42384129156531,1614655071,1613580489
